00510149000110	CLINICA INTEGRADA DE ORTOPEDIA E RADIOLO
00625711000151	HOSPITAL MERIDIONAL
00735860000173	ASSOCIACAO DOS MEDICOS DE HOSPITAIS PRIVADOS DO DF AMHPDF
01722424000122	HOSPITAL MEMORIAL ARTHUR RAMOS S/A
01817749000199	Hospital das Neves em João Pessoa
02284062000106	HOSPITAL ESPERANÇA - RECIFE
02284062000440	HOSPITAL ESPERANÇA S.A (HOSPITAL SÃO MARCOS)
02284062000521	HOSPITAL ESPERANCA S.A (HOSPITAL BARRA D'Or)
02284062001170	HOSPITAL ESPERANÇA S.A. (UDI HOSPITAL)
02284062001765	SOCIEDADE ANONIMA HOSPITAL ALIANCA (HOSPITAL ALIANÇA)
02434658000137	MAX DAY HOSPITAL LTDA
02560878000107	Hospital Anchieta S.A
02636571000142	SERRA MAYOR SERVICOS MEDICOS S/A - HOSPITAL CENTRAL SUL
02993385000160	FUNDACAO ELETRONUCLEAR DE ASSIST MEDICA (HOSP PRAIA BRAVA)
03075804000148	GAS GRUPO DE ANESTESIOLOGIA LTDA
03121241000187	PRONCOR CENTRO (MATRIZ)
03611193000105	HOSPITAL ORTOPEDICO LTDA
03988127000159	INTOR INST DE TRAUM ORTOP E REAB LTDA
04142805000120	PONCINELLI - SERVICOS DE DIAGNOSTICO POR IMAGEM LTDA
04602792000125	HOSPITAL AEROPORTO
05469172000122	Hba Sa Assistencia Medica e Hospitalar
06008935000109	PROALIVIO CLINICA DA DOR LTDA
06047087000139	SAO LUIZ - UNIDADE ANALIA FRANCO
06047087000210	SAO LUIZ - UNIDADE ITAIM
06047087000309	SAO LUIZ - UNIDADE MORUMBI
06047087000724	HOSPITAL E MATERNIDADE BRASIL
06047087000805	HOSPITAL ASSUNCAO
06047087000996	HOSPITAL COPA D'OR
06047087001020	HOSPITAL QUINTA D'OR
06047087001291	HOSPITAL ESPERANÇA OLINDA
06047087001372	HOSPITAL CAXIAS D'OR
06047087003073	HOSPITAL VIVALLE
06047087003235	HOSPITAL BANGU
06047087003316	HOSPITAL OESTE D'OR
06047087003820	HOSPITAL SAO LUIZ JABAQUARA
06047087004126	HOSPITAL SANTA LUZIA
06047087004207	HOSPITAL DO CORAÇÃO DO BRASIL
06047087004550	HOSPITAL SANTA HELENA
06047087007656	HOSPITAL SINO BRASILEIRO - OSASCO
06047087007737	HOSPITAL VILLA-LOBOS
06047087009276	HOSPITAL MEMORIAL SÃO JOSE
06047087009780	HOSPITAL RIBEIRAO PIRES
08100676000592	HOSPITAL ALVORADA TAGUATINGA LTDA
08110473000153	POLICLINICA DE PIEDADE LTDA
09578217000158	HOSPITAL NORTE D 'OR DE CASCADURA S.A
10427478000156	Hospital Meridional Sao Mateus S.A
10632937000133	HOSPITAL SANTA MARINA
10839561000132	HOSPITAIS ASSOCIADOS DE PERNAMBUCO LTDA
11794674000121	HOSPITAL SÃO CARLOS
13637399000168	UNIDOR - SERVICOS DE SAUDE LTDA - UNIDOR MACEIO
13131370000100	SAO LUCAS MEDICO HOSPITALAR S.A. (HOSPITAL SÃO LUCAS)
